"PD_choice","year_birth_1","educ","gender","race","inc_family","religion","pol_1","theme_check","retribution_check","community_check","pd_check","Random.ID","treatment"
"Choice B","1949","College Degree","Male","White","$0-$25,000","Protestan","9","Yes","Somewhat agree","Strongly agree","No","929677","R"
"Choice B","1987","College Degree","Female","White","Greater than $75,000","Lutheran","0","Yes","Somewhat agree","Strongly agree","No","274067","C"
"Choice B","1976","Some college","Male","White","$25,000-$50,000","Protestan","3","Yes","Somewhat agree","Strongly agree","No","892946","C"
"Choice A","1993","College Degree","Male","White","$50,000-$75,000","Protestan","6","Yes","Strongly agree","Somewhat agree","No","743999","R"
"Choice B","1996","College Degree","Female","Black or African American","Greater than $75,000","None","5","Yes","Strongly agree","Strongly agree","No","235447","C"
"Choice A","1979","Graduate or Professional Degree","Male","White","Greater than $75,000","None","0","Yes","Neither agree nor disagree","Somewhat agree","No","223034","R"
"Choice A","1985","Graduate or Professional Degree","Male","White","$25,000-$50,000","Other","7","Yes","Neither agree nor disagree","Somewhat agree","No","780546","C"
"Choice B","1966","Some college","Female","White","$25,000-$50,000","Catholic","5","Yes","Somewhat agree","Somewhat agree","No","910620","R"
"Choice A","1942","High school","Male","White","$50,000-$75,000","Catholic","8","Yes","Somewhat agree","Somewhat agree","No","614948","C"
"Choice B","1986","Graduate or Professional Degree","Male","White","Greater than $75,000","Catholic","2","Yes","Somewhat disagree","Somewhat agree","Yes","896305","C"
"Choice A","1981","Graduate or Professional Degree","Female","White","Greater than $75,000","Catholic","4","Yes","Somewhat agree","Somewhat agree","No","721428","R"
"Choice B","1986","College Degree","Female","White","$25,000-$50,000","None","6","Yes","Neither agree nor disagree","Somewhat agree","Yes","346830","C"
"Choice B","1985","Graduate or Professional Degree","Female","White","$50,000-$75,000","Protestan","2","Yes","Strongly disagree","Strongly agree","Yes","316022","N"
"Choice A","1987","College Degree","Female","White","$50,000-$75,000","Catholic","6","Yes","Neither agree nor disagree","Somewhat agree","No","694990","R"
"Choice B","1979","Graduate or Professional Degree","Male","White","$50,000-$75,000","None","2","Yes","Somewhat agree","Strongly agree","No","285933","R"
"Choice A","1993","College Degree","Male","Black or African American","$50,000-$75,000","Protestan","9","No","Somewhat agree","Somewhat agree","No","540635","N"
"Choice B","1971","Some college","Male","White","$25,000-$50,000","None","2","Yes","Strongly agree","Strongly agree","No","208739","N"
"Choice B","1975","College Degree","Female","White","Greater than $75,000","Catholic","9","Yes","Strongly disagree","Neither agree nor disagree","No","354684","N"
"Choice B","1968","Some college","Male","White","$50,000-$75,000","Protestan","6","No","Neither agree nor disagree","Neither agree nor disagree","No","150451","C"
"Choice B","1979","Some college","Male","White","$25,000-$50,000","None","7","Yes","Somewhat disagree","Neither agree nor disagree","No","518890","C"
"Choice B","1987","Some college","Female","White","$25,000-$50,000","Protestan","3","Yes","Neither agree nor disagree","Somewhat agree","Yes","296782","C"
"Choice B","1982","College Degree","Female","Asian","Greater than $75,000","Other","4","Yes","Somewhat agree","Somewhat agree","No","339082","C"
"Choice B","1976","Some college","Female","White","Greater than $75,000","None","10","Yes","Strongly agree","Strongly agree","No","924178","C"
"Choice B","1990","College Degree","Female","Asian","Greater than $75,000","None","6","Yes","Neither agree nor disagree","Somewhat agree","No","352643","N"
"Choice B","1988","Some college","Male","Black or African American","$25,000-$50,000","None","2","Yes","Somewhat disagree","Strongly disagree","No","330376","R"
"Choice A","1995","College Degree","Male","White","$50,000-$75,000","None","1","Yes","Neither agree nor disagree","Strongly agree","No","164936","N"
"Choice A","1962","High school","Female","White","$50,000-$75,000","Protestan","7","Yes","Neither agree nor disagree","Strongly disagree","No","965824","C"
"Choice B","1973","Some college","Female","White","$25,000-$50,000","Protestan","3","Yes","Strongly agree","Somewhat agree","Yes","568596","C"
"Choice A","1995","College Degree","Male","Latino","$50,000-$75,000","None","2","Yes","Neither agree nor disagree","Somewhat agree","No","448519","R"
"Choice B","1968","Graduate or Professional Degree","Female","White","$0-$25,000","Other","2","Yes","Neither agree nor disagree","Strongly agree","Yes","774837","N"
"Choice A","1972","College Degree","Male","White","Greater than $75,000","None","0","Yes","Somewhat agree","Strongly agree","No","536129","R"
"Choice B","1985","College Degree","Female","Asian","$50,000-$75,000","Catholic","4","Yes","Somewhat agree","Strongly agree","No","866423","R"
"Choice B","1994","College Degree","Male","Asian","","None","4","Yes","Strongly agree","Strongly agree","No","851872","N"
"Choice A","1992","High school","Male","White","$25,000-$50,000","None","1","Yes","Somewhat disagree","Strongly agree","Yes","689463","R"
"Choice B","1953","Some college","Female","Black or African American","$0-$25,000","Protestan","3","Yes","Somewhat agree","Somewhat agree","No","892828","N"
"Choice A","1974","Some college","Female","White","Greater than $75,000","Catholic","6","Yes","Somewhat agree","Somewhat agree","No","450737","C"
"Choice A","1968","College Degree","Female","White","Greater than $75,000","None","0","Yes","Somewhat agree","Strongly agree","No","795078","N"
"Choice A","1984","Graduate or Professional Degree","Male","White","Greater than $75,000","Catholic","6","Yes","Somewhat disagree","Somewhat disagree","No","710414","R"
"Choice B","1983","College Degree","Male","White","Greater than $75,000","None","2","Yes","Neither agree nor disagree","Strongly agree","Yes","445884","N"
"Choice B","1977","High school","Male","White","$0-$25,000","Catholic","2","Yes","Strongly agree","Strongly agree","Yes","157993","C"
"Choice B","1988","Some college","Female","Other","$25,000-$50,000","None","2","Yes","Somewhat agree","Strongly agree","Yes","317464","R"
"Choice B","1986","High school","Male","Latino","$50,000-$75,000","None","2","Yes","Neither agree nor disagree","Strongly agree","No","920312","C"
"Choice A","1982","Graduate or Professional Degree","Female","White","Greater than $75,000","Catholic","9","Yes","Somewhat disagree","Neither agree nor disagree","No","167703","C"
"Choice B","1990","Some college","Male","White","$50,000-$75,000","None","7","Yes","Strongly disagree","Strongly agree","No","815707","N"
"Choice B","1968","College Degree","Male","Latino","Greater than $75,000","None","6","Yes","Strongly disagree","Somewhat agree","No","727616","R"
"Choice B","1982","College Degree","Female","White","$25,000-$50,000","Protestan","6","Yes","Somewhat disagree","Somewhat agree","Yes","477856","N"
"Choice B","1996","College Degree","Female","White","$25,000-$50,000","Other","9","Yes","Neither agree nor disagree","Somewhat agree","Yes","144291","R"
"Choice A","1993","College Degree","Male","White","$0-$25,000","None","0","Yes","Neither agree nor disagree","Neither agree nor disagree","No","533415","N"
"Choice A","1972","College Degree","Male","White","$50,000-$75,000","Catholic","10","No","Neither agree nor disagree","Somewhat agree","No","384939","C"
"Choice A","1983","College Degree","Female","White","Greater than $75,000","Protestan","8","Yes","Strongly disagree","Strongly disagree","No","705567","C"
"Choice B","1997","Some college","Female","White","$25,000-$50,000","None","1","Yes","Neither agree nor disagree","Strongly agree","No","117712","N"
"Choice B","1981","College Degree","Female","White","$25,000-$50,000","Protestan","5","No","Strongly disagree","Somewhat agree","No","121617","R"
"Choice B","1958","Graduate or Professional Degree","Female","White","Greater than $75,000","Protestan","8","Yes","Somewhat agree","Somewhat agree","Yes","714801","N"
"Choice B","1979","College Degree","Female","White","$50,000-$75,000","None","0","Yes","Somewhat agree","Strongly agree","Yes","430877","C"
"Choice A","1965","College Degree","Male","White","$50,000-$75,000","Protestan","8","Yes","Somewhat disagree","Somewhat agree","No","567631","C"
"Choice A","1973","Some college","Female","White","$50,000-$75,000","Other","5","Yes","Neither agree nor disagree","Strongly agree","No","343640","R"
"Choice B","1992","College Degree","Male","American Indian or Alaska Native","$50,000-$75,000","Protestan","10","Yes","Strongly disagree","Strongly disagree","No","126272","C"
"Choice A","1978","Graduate or Professional Degree","Female","White","$50,000-$75,000","None","0","Yes","Neither agree nor disagree","Strongly agree","Yes","605885","R"
"Choice B","1982","Graduate or Professional Degree","Male","Latino","$50,000-$75,000","None","0","Yes","Somewhat agree","Somewhat agree","No","430178","R"
"Choice A","1983","College Degree","Male","Black or African American","$50,000-$75,000","Protestan","2","Yes","Somewhat agree","Somewhat agree","No","392849","C"
"Choice B","1984","Some college","Female","Black or African American","Greater than $75,000","Protestan","2","Yes","Somewhat agree","Somewhat agree","Yes","318698","R"
"Choice B","1980","Some college","Female","White","$50,000-$75,000","Protestan","0","Yes","Somewhat disagree","Neither agree nor disagree","Yes","872441","N"
"Choice B","1986","Graduate or Professional Degree","Female","Black or African American","$25,000-$50,000","Protestan","5","Yes","Neither agree nor disagree","Strongly agree","No","703709","N"
"Choice A","1977","College Degree","Female","White","Greater than $75,000","None","1","Yes","Somewhat agree","Strongly agree","No","107380","R"
"Choice B","1984","High school","Male","White","$0-$25,000","Protestan","2","Yes","Somewhat agree","Neither agree nor disagree","Yes","593795","R"
"Choice A","1971","Some college","Female","White","$50,000-$75,000","Protestan","10","Yes","Neither agree nor disagree","Neither agree nor disagree","No","982606","C"
"Choice B","1979","College Degree","Female","White","$50,000-$75,000","Catholic","10","Yes","Somewhat agree","Somewhat agree","No","446820","N"
"Choice A","1987","College Degree","Male","White","$50,000-$75,000","Catholic","8","Yes","Somewhat agree","Strongly agree","No","287723","C"
"Choice A","1976","College Degree","Female","White","$50,000-$75,000","Catholic","5","No","Neither agree nor disagree","Somewhat agree","No","124461","N"
"Choice A","1977","College Degree","Female","Asian","Greater than $75,000","Catholic","0","Yes","Strongly agree","Strongly agree","No","901947","R"
"Choice B","1988","High school","Female","White","Greater than $75,000","None","3","Yes","Somewhat agree","Strongly agree","No","754373","C"
"Choice B","2001","High school","Female","White","Greater than $75,000","None","8","No","Somewhat agree","Somewhat agree","No","561960","C"
"Choice B","1976","Some college","Male","White","Greater than $75,000","Protestan","7","Yes","Neither agree nor disagree","Strongly agree","Yes","427139","C"
"Choice A","1986","Some college","Female","White","Greater than $75,000","None","5","Yes","Neither agree nor disagree","Neither agree nor disagree","No","268670","R"
"Choice B","1969","Some college","Male","White","$0-$25,000","None","5","No","Strongly agree","Strongly agree","No","104993","R"
"Choice B","1979","High school","Female","Black or African American","$50,000-$75,000","Muslim","5","Yes","Strongly agree","Strongly agree","Yes","947319","C"
"Choice B","1989","College Degree","Male","White","$50,000-$75,000","Protestan","2","Yes","Somewhat agree","Somewhat agree","No","697583","N"
"Choice A","1975","College Degree","Female","White","$50,000-$75,000","None","2","Yes","Neither agree nor disagree","Somewhat agree","I do not know","358264","C"
"Choice A","1963","College Degree","Female","White","$0-$25,000","None","0","Yes","Somewhat disagree","Strongly agree","No","251574","R"
"Choice B","1972","College Degree","Female","White","$25,000-$50,000","Protestan","1","Yes","Somewhat agree","Strongly agree","No","233476","C"
"Choice A","1970","Some college","Female","White","$50,000-$75,000","Protestan","6","Yes","Somewhat agree","Somewhat agree","No","936755","N"
"Choice B","1979","College Degree","Female","White","$50,000-$75,000","None","0","Yes","Strongly disagree","Somewhat agree","No","269287","C"
"Choice A","1983","College Degree","Male","White","Greater than $75,000","None","2","Yes","Strongly disagree","Strongly agree","Yes","900033","R"
"Choice B","1989","College Degree","Male","White","$25,000-$50,000","None","2","Yes","Strongly agree","Somewhat agree","No","532947","N"
"Choice A","1948","High school","Female","White","$50,000-$75,000","Protestan","10","Yes","Strongly disagree","Strongly disagree","No","163578","N"
"Choice B","1981","College Degree","Male","White","$50,000-$75,000","Catholic","5","Yes","Somewhat disagree","Neither agree nor disagree","I do not know","150610","R"
"Choice B","1993","College Degree","Male","Black or African American","$50,000-$75,000","Protestan","2","Yes","Neither agree nor disagree","Neither agree nor disagree","No","464899","R"
"Choice A","1987","College Degree","Female","White","$50,000-$75,000","Protestan","4","Yes","Somewhat agree","Somewhat agree","No","534045","R"
"Choice B","1982","College Degree","Male","White","$50,000-$75,000","Protestan","2","Yes","Somewhat disagree","Somewhat agree","No","697620","N"
"Choice A","1982","Some college","Male","White","Greater than $75,000","Catholic","7","Yes","Somewhat agree","Neither agree nor disagree","No","484736","R"
"Choice B","1995","Some college","Female","Latino","$50,000-$75,000","None","2","Yes","Somewhat disagree","Somewhat agree","No","859536","R"
"Choice A","1968","College Degree","Female","White","$50,000-$75,000","Catholic","1","Yes","Somewhat disagree","Strongly agree","Yes","906560","C"
"Choice B","1986","Some college","Male","Asian","$25,000-$50,000","None","3","Yes","Neither agree nor disagree","Somewhat disagree","I do not know","654315","C"
"Choice B","1974","Some college","Male","White","$25,000-$50,000","Other","0","Yes","Somewhat agree","Somewhat agree","No","257455","N"
"Choice B","1965","College Degree","Male","White","Greater than $75,000","None","1","Yes","Somewhat agree","Strongly agree","Yes","227718","N"
"Choice A","1994","College Degree","Female","White","$0-$25,000","None","3","Yes","Somewhat agree","Neither agree nor disagree","No","117811","R"
"Choice A","1980","Some college","Male","White","Greater than $75,000","None","1","Yes","Somewhat disagree","Strongly agree","No","618370","N"
"Choice B","1983","College Degree","Male","White","$50,000-$75,000","Catholic","5","Yes","Strongly agree","Strongly agree","Yes","724999","N"
"Choice A","1997","Graduate or Professional Degree","Male","Asian","$25,000-$50,000","Other","2","Yes","Somewhat agree","Somewhat agree","I do not know","900117","C"
"Choice A","1990","College Degree","Male","Black or African American","$50,000-$75,000","Catholic","7","No","Somewhat agree","Somewhat agree","Yes","770870","C"
"Choice A","1987","College Degree","Male","White","$25,000-$50,000","None","3","Yes","Neither agree nor disagree","Strongly agree","No","763673","R"
"Choice A","1983","College Degree","Female","White","$50,000-$75,000","Protestan","9","Yes","Somewhat agree","Strongly disagree","No","151562","C"
"Choice A","1989","College Degree","Male","White","$25,000-$50,000","None","3","Yes","Neither agree nor disagree","Somewhat agree","Yes","700183","C"
"Choice B","1972","College Degree","Female","Asian","Greater than $75,000","Catholic","2","Yes","Strongly agree","Strongly agree","No","216924","C"
"Choice B","1975","Graduate or Professional Degree","Male","Latino","$50,000-$75,000","None","0","Yes","Neither agree nor disagree","Strongly agree","No","609588","R"
"Choice B","1979","College Degree","Male","White","$50,000-$75,000","Catholic","2","Yes","Somewhat agree","Strongly agree","No","712401","N"
"Choice A","1992","College Degree","Male","Black or African American","$50,000-$75,000","None","2","Yes","Somewhat agree","Strongly agree","No","787267","C"
"Choice B","1987","High school","Male","White","$50,000-$75,000","Muslim","4","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","119349","N"
"Choice B","1982","College Degree","Female","White","$25,000-$50,000","Catholic","2","No","Neither agree nor disagree","Somewhat agree","No","978795","C"
"Choice B","1988","College Degree","Female","White","$50,000-$75,000","Catholic","4","No","Neither agree nor disagree","Strongly agree","I do not know","472280","C"
"Choice B","1985","Some college","Female","Black or African American","Greater than $75,000","Muslim","0","Yes","Somewhat agree","Strongly agree","No","322004","N"
"Choice B","1990","College Degree","Male","White","$25,000-$50,000","Protestan","2","Yes","Somewhat agree","Somewhat disagree","No","742118","N"
"Choice B","1975","College Degree","Male","White","$50,000-$75,000","Protestan","1","Yes","Strongly agree","Somewhat agree","No","915071","C"
"Choice B","1990","Some college","Female","White","$0-$25,000","None","1","Yes","Somewhat agree","Strongly agree","No","688284","R"
"Choice B","1962","College Degree","Female","White","Greater than $75,000","Protestan","8","Yes","Neither agree nor disagree","Somewhat agree","No","928338","N"
"Choice A","1979","Some college","Female","White","Greater than $75,000","Other","2","Yes","Neither agree nor disagree","Somewhat agree","No","715982","N"
"Choice B","1987","Graduate or Professional Degree","Female","White","$50,000-$75,000","Protestan","5","Yes","Neither agree nor disagree","Somewhat agree","No","454453","N"
"Choice B","1996","College Degree","Female","White","$25,000-$50,000","None","2","Yes","Somewhat agree","Strongly agree","Yes","893961","C"
"Choice B","1993","College Degree","Male","White","$0-$25,000","None","0","Yes","Somewhat agree","Somewhat agree","No","615428","N"
"Choice B","1984","College Degree","Female","White","$25,000-$50,000","Muslim","2","No","Strongly agree","Strongly agree","Yes","316676","N"
"Choice B","1975","Some college","Male","White","$25,000-$50,000","Protestan","9","Yes","Somewhat disagree","Somewhat disagree","No","251617","C"
"Choice A","1963","College Degree","Female","White","$25,000-$50,000","Protestan","0","Yes","Somewhat disagree","Neither agree nor disagree","Yes","216226","R"
"Choice B","1993","College Degree","Male","White","Greater than $75,000","Protestan","6","Yes","Somewhat agree","Somewhat agree","Yes","942160","C"
"Choice B","1984","College Degree","Male","Black or African American","Greater than $75,000","None","1","Yes","Somewhat agree","Neither agree nor disagree","No","523724","R"
"Choice B","1990","Graduate or Professional Degree","Male","Black or African American","$50,000-$75,000","Protestan","9","No","Somewhat agree","Somewhat agree","No","833474","N"
"Choice B","1976","College Degree","Male","White","$50,000-$75,000","None","1","Yes","Strongly agree","Strongly agree","No","675308","C"
"Choice A","1995","College Degree","Female","Black or African American","$25,000-$50,000","Catholic","3","No","Neither agree nor disagree","Somewhat agree","No","858518","C"
"Choice A","1967","College Degree","Male","White","$50,000-$75,000","None","5","Yes","Strongly agree","Strongly agree","No","120467","C"
"Choice B","1988","College Degree","Male","Asian","$25,000-$50,000","None","4","Yes","Neither agree nor disagree","Somewhat agree","Yes","257293","N"
"Choice B","2000","High school","Male","Latino","$50,000-$75,000","None","4","Yes","Somewhat agree","Somewhat agree","No","418576","N"
"Choice B","1979","College Degree","Female","White","$25,000-$50,000","None","0","Yes","Somewhat disagree","Neither agree nor disagree","Yes","387294","R"
"Choice A","1989","College Degree","Male","Black or African American","$0-$25,000","None","2","Yes","Somewhat agree","Strongly agree","Yes","635023","R"
"Choice A","1988","College Degree","Male","White","$25,000-$50,000","Catholic","2","No","Strongly agree","Strongly agree","No","264085","C"
"Choice A","1970","Graduate or Professional Degree","Female","Black or African American","Greater than $75,000","None","6","Yes","Somewhat agree","Somewhat agree","No","933759","R"
"Choice B","1994","College Degree","Female","White","$50,000-$75,000","None","2","Yes","Somewhat disagree","Strongly agree","No","211012","R"
"Choice B","1978","College Degree","Female","Asian","$25,000-$50,000","None","5","No","Somewhat disagree","Somewhat disagree","No","749241","N"
"Choice A","1960","High school","Female","White","$25,000-$50,000","Catholic","4","Yes","Neither agree nor disagree","Somewhat agree","No","916206","R"
"Choice B","1985","Some college","Female","White","Greater than $75,000","None","0","Yes","Strongly disagree","Neither agree nor disagree","No","299389","C"
"Choice B","1980","Graduate or Professional Degree","Female","White","$50,000-$75,000","None","2","Yes","Somewhat agree","Somewhat agree","Yes","292609","R"
"Choice B","1977","College Degree","Male","White","Greater than $75,000","Other","5","Yes","Somewhat agree","Somewhat agree","Yes","544186","N"
"Choice B","1960","High school","Female","White","$25,000-$50,000","Other","9","Yes","Neither agree nor disagree","Somewhat agree","Yes","324371","R"
"Choice A","1973","College Degree","Male","White","Greater than $75,000","None","0","Yes","Neither agree nor disagree","Somewhat agree","Yes","509099","R"
"Choice A","1982","Some college","Female","White","$50,000-$75,000","Protestan","10","Yes","Strongly disagree","Somewhat agree","No","625192","N"
"Choice A","1988","Some college","Female","Black or African American","$25,000-$50,000","None","2","Yes","Somewhat agree","Strongly agree","No","241982","N"
"Choice A","1957","Graduate or Professional Degree","Male","American Indian or Alaska Native","Greater than $75,000","None","6","Yes","Somewhat agree","Somewhat agree","No","183092","N"
"Choice B","1969","College Degree","Male","White","$25,000-$50,000","Catholic","1","Yes","Neither agree nor disagree","Somewhat agree","No","702919","C"
"Choice A","1980","Graduate or Professional Degree","Male","White","$25,000-$50,000","Catholic","7","Yes","Somewhat agree","Strongly agree","No","200668","N"
"Choice B","1987","Some college","Male","Latino","$25,000-$50,000","None","2","No","Neither agree nor disagree","Somewhat agree","No","344920","N"
"Choice B","2000","Some college","Female","White","$50,000-$75,000","None","2","Yes","Somewhat agree","Strongly agree","No","866948","R"
"Choice B","1979","College Degree","Female","White","$25,000-$50,000","Other","2","Yes","Neither agree nor disagree","Somewhat agree","No","603058","C"
"Choice A","1992","College Degree","Male","Asian","Greater than $75,000","Catholic","1","Yes","Somewhat agree","Somewhat agree","No","181414","R"
"Choice B","1984","College Degree","Male","White","$50,000-$75,000","None","1","No","Neither agree nor disagree","Strongly agree","No","104311","N"
"Choice B","1992","College Degree","Female","Black or African American","$50,000-$75,000","Lutheran","0","No","Somewhat disagree","Somewhat agree","No","510577","C"
"Choice B","1990","Some college","Male","Black or African American","$25,000-$50,000","None","0","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","773225","N"
"Choice B","1953","Some college","Female","White","$25,000-$50,000","Protestan","10","Yes","Somewhat disagree","Neither agree nor disagree","No","355457","C"
"Choice B","1987","College Degree","Male","White","Greater than $75,000","Catholic","5","No","Somewhat agree","Strongly agree","No","513806","N"
"Choice A","1990","Some college","Female","White","$25,000-$50,000","Other","1","No","Neither agree nor disagree","Strongly agree","I do not know","326912","N"
"Choice A","1953","Some college","Male","White","$50,000-$75,000","Catholic","4","Yes","Neither agree nor disagree","Strongly agree","Yes","612946","C"
"Choice A","1996","High school","Male","White","$25,000-$50,000","None","2","Yes","Somewhat disagree","Somewhat agree","No","394217","C"
"Choice A","1963","Graduate or Professional Degree","Male","Other","$25,000-$50,000","None","5","Yes","Somewhat agree","Somewhat agree","No","310543","C"
"Choice A","1984","Some college","Male","White","$0-$25,000","Other","5","Yes","Strongly agree","Strongly agree","No","906517","N"
"Choice A","1982","High school","Female","Latino","$50,000-$75,000","Catholic","3","Yes","Somewhat disagree","Strongly agree","No","801519","R"
"Choice B","1957","Graduate or Professional Degree","Male","White","$25,000-$50,000","Protestan","1","Yes","Somewhat disagree","Somewhat agree","I do not know","703852","N"
"Choice B","1988","Some college","Male","White","$0-$25,000","None","0","Yes","","","","824033","R"
"Choice A","1978","Graduate or Professional Degree","Female","White","Greater than $75,000","Other","7","Yes","Strongly disagree","Neither agree nor disagree","No","990842","C"
"Choice B","1988","Graduate or Professional Degree","Male","Asian","$50,000-$75,000","Other","2","Yes","","","","727747","C"
"Choice A","1983","College Degree","Male","White","Greater than $75,000","Protestan","1","Yes","Neither agree nor disagree","Strongly agree","No","222832","R"
"Choice B","","","","","","","","","","","","833180","C"
"Choice B","1978","College Degree","Male","Asian","Greater than $75,000","Protestan","2","Yes","Somewhat agree","Somewhat agree","No","866027","R"
"Choice B","1987","Some college","Female","White","$0-$25,000","Other","5","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","721117","R"
"Choice B","1967","Graduate or Professional Degree","Female","White","Greater than $75,000","None","2","Yes","Somewhat disagree","Somewhat agree","Yes","430097","C"
"Choice B","1986","Graduate or Professional Degree","Male","Black or African American","$0-$25,000","Muslim","0","Yes","Somewhat agree","Strongly agree","No","734041","N"
"Choice B","1991","High school","Male","Other","$25,000-$50,000","None","5","Yes","Strongly agree","Strongly agree","No","497793","R"
"Choice B","1987","High school","Male","White","$0-$25,000","None","5","Yes","Neither agree nor disagree","Neither agree nor disagree","No","503800","C"
"Choice B","1967","College Degree","Female","White","Greater than $75,000","Jewish","2","Yes","Neither agree nor disagree","Somewhat agree","No","450930","C"
"Choice B","1964","Some college","Male","White","$25,000-$50,000","None","2","Yes","Somewhat agree","Strongly agree","Yes","363665","R"
"Choice A","1985","College Degree","Female","White","$50,000-$75,000","None","7","Yes","Somewhat disagree","Somewhat disagree","No","617393","C"
"Choice B","1989","Graduate or Professional Degree","Female","Asian","$50,000-$75,000","Protestan","2","Yes","Somewhat agree","Somewhat agree","No","761152","N"
"Choice B","1985","College Degree","Female","White","$50,000-$75,000","Other","0","Yes","Neither agree nor disagree","Strongly agree","No","920892","N"
"Choice B","1996","College Degree","Male","White","$25,000-$50,000","None","4","Yes","Somewhat agree","Somewhat agree","No","220304","R"
"Choice B","","","","","","","","","","","","187009","C"
"Choice A","1989","Graduate or Professional Degree","Female","Black or African American","$50,000-$75,000","Catholic","9","Yes","Somewhat agree","Somewhat agree","No","487613","C"
"Choice B","1968","College Degree","Female","Black or African American","$0-$25,000","Protestan","6","Yes","Somewhat agree","Somewhat disagree","No","990581","R"
"Choice B","1981","College Degree","Female","White","$50,000-$75,000","None","4","Yes","Somewhat agree","Neither agree nor disagree","No","756303","R"
"Choice A","1986","Some college","Female","White","$25,000-$50,000","Catholic","4","Yes","Somewhat agree","Strongly agree","Yes","939150","C"
